model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,en,ja,r1,0.533203125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,en,ja,mrr,0.6530769770753475,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,en,zh,r1,0.658203125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,en,zh,mrr,0.7521784899583638,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ko,en,r1,0.455078125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ko,en,mrr,0.5509248820534669,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ko,ja,r1,0.576171875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ko,ja,mrr,0.6697109203198244,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ko,zh,r1,0.345703125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ko,zh,mrr,0.4579609631971593,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ja,en,r1,0.55078125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ja,en,mrr,0.6563100271417832,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ja,ko,r1,0.5703125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ja,ko,mrr,0.6609913115394319,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ja,zh,r1,0.513671875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,ja,zh,mrr,0.6162865734173468,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,zh,en,r1,0.669921875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,zh,en,mrr,0.75573893986572,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,zh,ko,r1,0.353515625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,zh,ko,mrr,0.4743695022099196,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,zh,ja,r1,0.482421875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,per-language-centered,zh,ja,mrr,0.611714806230518,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,,,language_probe_accuracy,0.9990234375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,,,language_probe_macro_f1,0.9990239120120274,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,geometry,,,centroid_separation,18.25254249572754,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,geometry,,,centroid_norm,60.68397521972656,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,geometry,,,language_subspace_variance_fraction,0.9605049172988677,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,mean,geometry,,,anisotropy,0.991005794876009,3,1024,2048
