model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,en,zh,r1,0.044921875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,en,zh,mrr,0.11462527697885339,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ko,en,r1,0.0390625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ko,en,mrr,0.06220504139790483,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ko,ja,r1,0.037109375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ko,ja,mrr,0.07697162172891915,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ko,zh,r1,0.013671875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ko,zh,mrr,0.042337322690775864,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ja,en,r1,0.021484375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ja,en,mrr,0.044199584820496324,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ja,ko,r1,0.115234375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ja,ko,mrr,0.17876604494016646,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ja,zh,r1,0.55859375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,ja,zh,mrr,0.5982341181730723,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,zh,en,r1,0.072265625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,zh,en,mrr,0.09630119006267725,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,zh,ko,r1,0.072265625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,zh,ko,mrr,0.14873229232296564,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,zh,ja,r1,0.625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,normal,,zh,ja,mrr,0.6883586529055206,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,en,ko,r1,0.025390625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,en,ko,mrr,0.14625396575530877,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,en,ja,r1,0.01171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,en,ja,mrr,0.1467140332327614,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,en,zh,r1,0.01171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,en,zh,mrr,0.08705522306328393,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ko,en,r1,0.453125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ko,en,mrr,0.6019287010779267,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ko,ja,r1,0.0859375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ko,ja,mrr,0.2718636669922156,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ko,zh,r1,0.05078125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,mean,normal,,ko,zh,mrr,0.1696909457812725,1024,2048,metric,,,,
