model,layer,normalized_depth,pooling,condition,status,metric,value,n_train,n_eval,directions
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered_delta,ok,r5,0.06396484375,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,aligned,ok,r5,0.10579427083333333,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,delta,ok,r5,0.01611328125,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,ok,r10,0.1298828125,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered,ok,r10,0.20084635416666666,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered_delta,ok,r10,0.07096354166666667,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,aligned,ok,r10,0.15673828125,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,delta,ok,r10,0.02685546875,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,raw,ok,mrr,0.07164691099895974,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered,ok,mrr,0.12244266438712981,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,centered_delta,ok,mrr,0.05079575338817007,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,aligned,ok,mrr,0.08092569714328811,256,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,last_token,delta,ok,mrr,0.009278786144328343,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,ok,r1,0.06949869791666667,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered,ok,r1,0.15478515625,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered_delta,ok,r1,0.08528645833333333,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,aligned,ok,r1,0.06494140625,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,delta,ok,r1,-0.004557291666666667,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,ok,r5,0.15022786458333334,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered,ok,r5,0.271484375,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered_delta,ok,r5,0.12125651041666667,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,aligned,ok,r5,0.16878255208333334,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,delta,ok,r5,0.0185546875,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,raw,ok,r10,0.197265625,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered,ok,r10,0.33056640625,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,centered_delta,ok,r10,0.13330078125,256,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,last_token,aligned,ok,r10,0.23909505208333334,256,512,12
