model,layer,normalized_depth,pooling,condition,metric,value,n,directions
Qwen/Qwen2.5-0.5B,9,0.375,last_token,raw,r5,0.6692708333333334,512,12
Qwen/Qwen2.5-0.5B,9,0.375,last_token,raw,r10,0.74658203125,512,12
Qwen/Qwen2.5-0.5B,9,0.375,last_token,raw,mrr,0.5536582690853302,512,12
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,raw,r1,0.50146484375,512,12
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,raw,r5,0.7119140625,512,12
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,raw,r10,0.7843424479166666,512,12
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,raw,mrr,0.5981781888236058,512,12
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,last_token,raw,r1,0.7262369791666666,512,12
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,last_token,raw,r5,0.86962890625,512,12
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,last_token,raw,r10,0.8997395833333334,512,12
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,last_token,raw,mrr,0.7908355529882795,512,12
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,r1,0.68017578125,512,12
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,r5,0.8391927083333334,512,12
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,r10,0.8798828125,512,12
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,mrr,0.7524438305778266,512,12
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,last_token,raw,r1,0.6941731770833334,512,12
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,last_token,raw,r5,0.8497721354166666,512,12
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,last_token,raw,r10,0.8863932291666666,512,12
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,last_token,raw,mrr,0.764681259749097,512,12
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,last_token,raw,r1,0.6486002604166666,512,12
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,last_token,raw,r5,0.8190104166666666,512,12
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,last_token,raw,r10,0.86572265625,512,12
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,last_token,raw,mrr,0.725268938465993,512,12
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,r1,0.7705078125,512,12
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,r5,0.9013671875,512,12
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,r10,0.9256184895833334,512,12
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,mrr,0.829262790490414,512,12
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,last_token,raw,r1,0.7003580729166666,512,12
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,last_token,raw,r5,0.8517252604166666,512,12
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,last_token,raw,r10,0.888671875,512,12
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,last_token,raw,mrr,0.769320501524057,512,12
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,last_token,raw,r1,0.6534830729166666,512,12
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,last_token,raw,r5,0.8193359375,512,12
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,last_token,raw,r10,0.8619791666666666,512,12
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,last_token,raw,mrr,0.7290782830162709,512,12
Qwen/Qwen2.5-0.5B,18,0.75,last_token,raw,r1,0.5458984375,512,12
Qwen/Qwen2.5-0.5B,18,0.75,last_token,raw,r5,0.7501627604166666,512,12
Qwen/Qwen2.5-0.5B,18,0.75,last_token,raw,r10,0.8074544270833334,512,12
Qwen/Qwen2.5-0.5B,18,0.75,last_token,raw,mrr,0.638175105753188,512,12
