model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,ja,accuracy,0.3393333333333333,0.3393333333333333,0.26220011176513935,0.6726666666666666,0.3333333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,ja,macro_f1,0.26220011176513935,0.3393333333333333,0.26220011176513935,0.6188840435453208,0.35668393178018143,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,zh,accuracy,0.43866666666666665,0.43866666666666665,0.3646755359395931,0.6726666666666666,0.23399999999999999,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,per-language-centered,en,zh,macro_f1,0.3646755359395931,0.43866666666666665,0.3646755359395931,0.6188840435453208,0.25420850760572766,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,en,accuracy,0.7186666666666667,0.7186666666666667,0.6426625377061335,0.7186666666666667,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,en,macro_f1,0.6426625377061335,0.7186666666666667,0.6426625377061335,0.6426625377061335,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,ko,accuracy,0.09466666666666666,0.09466666666666666,0.04413592322846785,0.7186666666666667,0.624,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,ko,macro_f1,0.04413592322846785,0.09466666666666666,0.04413592322846785,0.6426625377061335,0.5985266144776656,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,ja,accuracy,0.056,0.056,0.012338017014208027,0.7186666666666667,0.6626666666666666,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,ja,macro_f1,0.012338017014208027,0.056,0.012338017014208027,0.6426625377061335,0.6303245206919255,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,zh,accuracy,0.06333333333333334,0.06333333333333334,0.013820048092584889,0.7186666666666667,0.6553333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,en,zh,macro_f1,0.013820048092584889,0.06333333333333334,0.013820048092584889,0.6426625377061335,0.6288424896135486,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,en,accuracy,0.7186666666666667,0.7186666666666667,0.6426625377061335,0.7186666666666667,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,en,macro_f1,0.6426625377061335,0.7186666666666667,0.6426625377061335,0.6426625377061335,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,ko,accuracy,0.09466666666666666,0.09466666666666666,0.04413592322846785,0.7186666666666667,0.624,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,ko,macro_f1,0.04413592322846785,0.09466666666666666,0.04413592322846785,0.6426625377061335,0.5985266144776656,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,ja,accuracy,0.056,0.056,0.012338017014208027,0.7186666666666667,0.6626666666666666,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,ja,macro_f1,0.012338017014208027,0.056,0.012338017014208027,0.6426625377061335,0.6303245206919255,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,zh,accuracy,0.06333333333333334,0.06333333333333334,0.013820048092584889,0.7186666666666667,0.6553333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,global-centered,en,zh,macro_f1,0.013820048092584889,0.06333333333333334,0.013820048092584889,0.6426625377061335,0.6288424896135486,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,en,accuracy,0.7186666666666667,0.7186666666666667,0.6426625377061335,0.7186666666666667,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,en,macro_f1,0.6426625377061335,0.7186666666666667,0.6426625377061335,0.6426625377061335,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,ko,accuracy,0.35333333333333333,0.35333333333333333,0.28905331396460415,0.7186666666666667,0.36533333333333334,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,ko,macro_f1,0.28905331396460415,0.35333333333333333,0.28905331396460415,0.6426625377061335,0.3536092237415293,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,ja,accuracy,0.288,0.288,0.2352937882227725,0.7186666666666667,0.4306666666666667,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,ja,macro_f1,0.2352937882227725,0.288,0.2352937882227725,0.6426625377061335,0.407368749483361,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,zh,accuracy,0.48333333333333334,0.48333333333333334,0.43927029889493857,0.7186666666666667,0.23533333333333334,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,per-language-centered,en,zh,macro_f1,0.43927029889493857,0.48333333333333334,0.43927029889493857,0.6426625377061335,0.2033922388111949,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,en,accuracy,0.7573333333333333,0.7573333333333333,0.7147529060579491,0.7573333333333333,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,en,macro_f1,0.7147529060579491,0.7573333333333333,0.7147529060579491,0.7147529060579491,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,ko,accuracy,0.308,0.308,0.24000803162573858,0.7573333333333333,0.4493333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,ko,macro_f1,0.24000803162573858,0.308,0.24000803162573858,0.7147529060579491,0.4747448744322105,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,ja,accuracy,0.24933333333333332,0.24933333333333332,0.200502975069146,0.7573333333333333,0.508,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,ja,macro_f1,0.200502975069146,0.24933333333333332,0.200502975069146,0.7147529060579491,0.5142499309888031,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,zh,accuracy,0.31333333333333335,0.31333333333333335,0.2402890270845092,0.7573333333333333,0.44399999999999995,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,en,zh,macro_f1,0.2402890270845092,0.31333333333333335,0.2402890270845092,0.7147529060579491,0.4744638789734399,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,en,accuracy,0.7573333333333333,0.7573333333333333,0.7147529060579491,0.7573333333333333,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,en,macro_f1,0.7147529060579491,0.7573333333333333,0.7147529060579491,0.7147529060579491,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,ko,accuracy,0.308,0.308,0.24000803162573858,0.7573333333333333,0.4493333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,ko,macro_f1,0.24000803162573858,0.308,0.24000803162573858,0.7147529060579491,0.4747448744322105,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,ja,accuracy,0.24933333333333332,0.24933333333333332,0.200502975069146,0.7573333333333333,0.508,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,0,0.0,mean,global-centered,en,ja,macro_f1,0.200502975069146,0.24933333333333332,0.200502975069146,0.7147529060579491,0.5142499309888031,3000,3000,1500,60
