model,layer,relative_position,source_language,target_language,metric,value,n
trillionlabs/Tri-0.5B-Base,6,0.75,zh,en,r1,0.09375,512
trillionlabs/Tri-0.5B-Base,6,0.75,zh,ko,r1,0.03125,512
trillionlabs/Tri-0.5B-Base,6,0.75,zh,ja,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,7,0.75,en,ko,r1,0.068359375,512
trillionlabs/Tri-0.5B-Base,7,0.75,en,ja,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,7,0.75,en,zh,r1,0.099609375,512
trillionlabs/Tri-0.5B-Base,7,0.75,ko,en,r1,0.083984375,512
trillionlabs/Tri-0.5B-Base,7,0.75,ko,ja,r1,0.150390625,512
trillionlabs/Tri-0.5B-Base,7,0.75,ko,zh,r1,0.060546875,512
trillionlabs/Tri-0.5B-Base,7,0.75,ja,en,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,7,0.75,ja,ko,r1,0.140625,512
trillionlabs/Tri-0.5B-Base,7,0.75,ja,zh,r1,0.060546875,512
trillionlabs/Tri-0.5B-Base,7,0.75,zh,en,r1,0.109375,512
trillionlabs/Tri-0.5B-Base,7,0.75,zh,ko,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,7,0.75,zh,ja,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,8,0.75,en,ko,r1,0.0703125,512
trillionlabs/Tri-0.5B-Base,8,0.75,en,ja,r1,0.076171875,512
trillionlabs/Tri-0.5B-Base,8,0.75,en,zh,r1,0.103515625,512
trillionlabs/Tri-0.5B-Base,8,0.75,ko,en,r1,0.083984375,512
trillionlabs/Tri-0.5B-Base,8,0.75,ko,ja,r1,0.138671875,512
trillionlabs/Tri-0.5B-Base,8,0.75,ko,zh,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,8,0.75,ja,en,r1,0.080078125,512
trillionlabs/Tri-0.5B-Base,8,0.75,ja,ko,r1,0.134765625,512
trillionlabs/Tri-0.5B-Base,8,0.75,ja,zh,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,8,0.75,zh,en,r1,0.119140625,512
trillionlabs/Tri-0.5B-Base,8,0.75,zh,ko,r1,0.044921875,512
trillionlabs/Tri-0.5B-Base,8,0.75,zh,ja,r1,0.0703125,512
trillionlabs/Tri-0.5B-Base,9,0.75,en,ko,r1,0.07421875,512
trillionlabs/Tri-0.5B-Base,9,0.75,en,ja,r1,0.078125,512
trillionlabs/Tri-0.5B-Base,9,0.75,en,zh,r1,0.107421875,512
trillionlabs/Tri-0.5B-Base,9,0.75,ko,en,r1,0.091796875,512
trillionlabs/Tri-0.5B-Base,9,0.75,ko,ja,r1,0.146484375,512
