model,layer,normalized_depth,pooling,language,source_language,target_language,n,metric,value
Qwen/Qwen2.5-0.5B,3,0.125,last_token,ja,,,512,stable_rank,7.019084676802739
Qwen/Qwen2.5-0.5B,3,0.125,last_token,zh,,,512,centroid_norm,0.972668468952179
Qwen/Qwen2.5-0.5B,3,0.125,last_token,zh,,,512,within_language_cosine,0.9459783923602617
Qwen/Qwen2.5-0.5B,3,0.125,last_token,zh,,,512,stable_rank,5.9993193947245445
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,ko,512,matched_cosine,0.8772647380828857
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,ko,512,unmatched_cosine,0.8610316514968872
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,ko,512,cosine_margin,0.016233086585998535
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,ja,512,matched_cosine,0.8322765827178955
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,ja,512,unmatched_cosine,0.8250197768211365
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,ja,512,cosine_margin,0.007256805896759033
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,zh,512,matched_cosine,0.8911166191101074
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,zh,512,unmatched_cosine,0.8636080026626587
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,en,zh,512,cosine_margin,0.02750861644744873
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,en,512,matched_cosine,0.8772647380828857
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,en,512,unmatched_cosine,0.8603938817977905
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,en,512,cosine_margin,0.016870856285095215
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,ja,512,matched_cosine,0.8800331354141235
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,ja,512,unmatched_cosine,0.8733536601066589
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,ja,512,cosine_margin,0.0066794753074646
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,zh,512,matched_cosine,0.846759557723999
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,zh,512,unmatched_cosine,0.8333611488342285
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ko,zh,512,cosine_margin,0.013398408889770508
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,en,512,matched_cosine,0.8322765827178955
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,en,512,unmatched_cosine,0.8247407674789429
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,en,512,cosine_margin,0.007535815238952637
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,ko,512,matched_cosine,0.8800331354141235
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,ko,512,unmatched_cosine,0.8731821775436401
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,ko,512,cosine_margin,0.0068509578704833984
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,zh,512,matched_cosine,0.8887929916381836
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,zh,512,unmatched_cosine,0.8799458742141724
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,ja,zh,512,cosine_margin,0.00884711742401123
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,en,512,matched_cosine,0.8911166191101074
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,en,512,unmatched_cosine,0.8632145524024963
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,en,512,cosine_margin,0.027902066707611084
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,ko,512,matched_cosine,0.846759557723999
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,ko,512,unmatched_cosine,0.8345896005630493
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,ko,512,cosine_margin,0.012169957160949707
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,ja,512,matched_cosine,0.8887929916381836
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,ja,512,unmatched_cosine,0.8801887035369873
Qwen/Qwen2.5-0.5B,3,0.125,last_token,,zh,ja,512,cosine_margin,0.008604288101196289
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,en,,,512,centroid_norm,0.9588381052017212
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,en,,,512,within_language_cosine,0.9192126847059993
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,en,,,512,stable_rank,8.563309391785902
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,ko,,,512,centroid_norm,0.9573369026184082
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,ko,,,512,within_language_cosine,0.9163304756298923
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,ko,,,512,stable_rank,2.686404397285696
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,ja,,,512,centroid_norm,0.9782543182373047
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,ja,,,512,within_language_cosine,0.9568972951512047
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,ja,,,512,stable_rank,4.227317088569301
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,zh,,,512,centroid_norm,0.9614840149879456
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,zh,,,512,within_language_cosine,0.924303625894386
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,zh,,,512,stable_rank,7.4387599464297205
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,ko,512,matched_cosine,0.8560203313827515
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,ko,512,unmatched_cosine,0.8325638771057129
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,ko,512,cosine_margin,0.023456454277038574
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,ja,512,matched_cosine,0.8005169630050659
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,ja,512,unmatched_cosine,0.7835777997970581
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,ja,512,cosine_margin,0.016939163208007812
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,zh,512,matched_cosine,0.8607180118560791
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,en,zh,512,unmatched_cosine,0.8208467960357666
