model,pooling,layer,target_language,metric,retrieval_raw,retrieval_centered,retrieval_gain,transfer_raw,transfer_centered,transfer_gain,pearson_r,spearman_r
Qwen/Qwen2.5-0.5B,last_token,15,ja,macro_f1,0.798828125,0.8313802083333334,0.03255208333333337,0.2444704027094324,0.2990398640882043,0.054569461378771916,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,15,ko,macro_f1,0.7545572916666666,0.7688151041666667,0.014257812500000022,0.15702960886597211,0.2304391810045817,0.07340957213860957,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,15,zh,macro_f1,0.7447916666666666,0.7631510416666667,0.018359375000000067,0.5877559857959997,0.5856710871547917,-0.0020848986412080883,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,24,ja,macro_f1,0.06315104166666667,0.3155598958333333,0.25240885416666664,0.13926108065754395,0.2284161292661807,0.08915504860863677,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,24,ko,macro_f1,0.0032552083333333335,0.137109375,0.13385416666666666,0.14732297048016813,0.15172475536310173,0.004401784882933607,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,last_token,24,zh,macro_f1,0.027994791666666668,0.21197916666666666,0.183984375,0.5150353532539673,0.5781021660833017,0.06306681282933435,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,0,ja,macro_f1,0.16731770833333334,0.4069010416666667,0.23958333333333334,0.22193148688987405,0.3185455654164197,0.09661407852654566,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,0,ko,macro_f1,0.10872395833333333,0.21178385416666667,0.10305989583333335,0.045074328476987544,0.12493331145909815,0.07985898298211061,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,0,zh,macro_f1,0.15885416666666666,0.44140625,0.28255208333333337,0.46673855056246943,0.5191202642310163,0.05238171366854688,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,12,ja,macro_f1,0.3606770833333333,0.6255208333333333,0.26484375,0.36806040129598344,0.5303470130141847,0.1622866117182013,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,12,ko,macro_f1,0.248046875,0.38274739583333334,0.13470052083333334,0.2553921429934952,0.4380860679959686,0.1826939250024734,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,12,zh,macro_f1,0.7083333333333334,0.8353515625,0.1270182291666666,0.6234337902000747,0.6287692230438364,0.0053354328437617005,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,15,ja,macro_f1,0.40234375,0.6845703125,0.2822265625,0.4076167467876294,0.5246340825483583,0.11701733576072892,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,15,ko,macro_f1,0.2845052083333333,0.4556640625,0.1711588541666667,0.22846547248786095,0.43193251133015437,0.20346703884229342,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,15,zh,macro_f1,0.763671875,0.8360677083333333,0.07239583333333333,0.5807990659362569,0.603591697212696,0.022792631276439157,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,24,ja,macro_f1,0.024739583333333332,0.34055989583333335,0.31582031250000003,0.07461259225903144,0.44556006760104805,0.3709474753420166,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,24,ko,macro_f1,0.012369791666666666,0.251171875,0.23880208333333333,0.09594113176683429,0.3585684242769218,0.26262729251008754,0.6529559270207274,0.7553816225537187
Qwen/Qwen2.5-0.5B,mean,24,zh,macro_f1,0.03515625,0.39010416666666664,0.35494791666666664,0.4573279570674612,0.5611423362354907,0.10381437916802949,0.6529559270207274,0.7553816225537187
trillionlabs/Tri-0.5B-Base,last_token,0,ja,accuracy,0.001953125,0.001953125,0.0,0.06933333333333333,0.07066666666666667,0.0013333333333333391,0.5949899608896733,0.7360175670948295
trillionlabs/Tri-0.5B-Base,last_token,0,ko,accuracy,0.001953125,0.001953125,0.0,0.07333333333333333,0.048666666666666664,-0.02466666666666667,0.5949899608896733,0.7360175670948295
