model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,r10,256,512,delta,ok,-0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,mrr,256,512,raw,ok,0.014380264145328404
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,mrr,256,512,aligned,ok,0.013573944090814465
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ko,mrr,256,512,delta,ok,-0.0008063200545139395
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r1,256,512,raw,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r1,256,512,aligned,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r1,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r5,256,512,raw,ok,0.005859375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r5,256,512,aligned,ok,0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r5,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r10,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r10,256,512,aligned,ok,0.037109375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,r10,256,512,delta,ok,0.025390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,mrr,256,512,raw,ok,0.006163294213209366
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,mrr,256,512,aligned,ok,0.010667886326779156
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,zh,mrr,256,512,delta,ok,0.00450459211356979
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r1,256,512,aligned,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r1,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r5,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r5,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r5,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r10,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r10,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,r10,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,mrr,256,512,raw,ok,0.009885857488867536
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,mrr,256,512,aligned,ok,0.013803728166821017
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,ja,mrr,256,512,delta,ok,0.00391787067795348
