model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,zh,ja,r1,0.474609375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,raw,zh,ja,mrr,0.540126727968867,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,en,ko,r1,0.5078125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,en,ko,mrr,0.5285340374171109,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,en,ja,r1,0.48046875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,en,ja,mrr,0.5065465642406702,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,en,zh,r1,0.482421875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,en,zh,mrr,0.503515187229505,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ko,en,r1,0.29296875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ko,en,mrr,0.33229286454902035,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ko,ja,r1,0.431640625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ko,ja,mrr,0.4652048319424995,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ko,zh,r1,0.38671875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ko,zh,mrr,0.41777015138858203,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ja,en,r1,0.3046875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ja,en,mrr,0.34008014311907575,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ja,ko,r1,0.47265625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,mean,per-language-centered,ja,ko,mrr,0.5070414478767586,3,1024,2048
