model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,en,ja,mrr,0.6757429575692548,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,en,zh,r1,0.845703125,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,en,zh,mrr,0.8783267631057973,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ko,en,r1,0.708984375,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ko,en,mrr,0.765064817546377,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ko,ja,r1,0.572265625,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ko,ja,mrr,0.6461772196706125,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ko,zh,r1,0.6015625,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ko,zh,mrr,0.674901171325059,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ja,en,r1,0.689453125,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ja,en,mrr,0.7629974393325694,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ja,ko,r1,0.662109375,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ja,ko,mrr,0.735288846931298,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ja,zh,r1,0.609375,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,ja,zh,mrr,0.6953564075523504,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,zh,en,r1,0.79296875,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,zh,en,mrr,0.83976237717215,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,zh,ko,r1,0.60546875,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,zh,ko,mrr,0.6775181847841418,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,zh,ja,r1,0.498046875,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,zh,ja,mrr,0.5878203265208299,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,,,language_probe_accuracy,0.99658203125,1024,2048
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,normal,,,,language_probe_macro_f1,0.9965844093926317,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,en,ko,r1,0.775390625,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,en,ko,mrr,0.8178759830841489,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,en,ja,r1,0.640625,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,en,ja,mrr,0.7207681648258515,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,en,zh,r1,0.83984375,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,en,zh,mrr,0.8813928613946466,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ko,en,r1,0.736328125,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ko,en,mrr,0.7932433073168366,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ko,ja,r1,0.595703125,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ko,ja,mrr,0.67225145207632,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ko,zh,r1,0.619140625,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ko,zh,mrr,0.7024408583981898,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ja,en,r1,0.720703125,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ja,en,mrr,0.7869503511507997,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ja,ko,r1,0.689453125,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ja,ko,mrr,0.7571911667983426,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ja,zh,r1,0.654296875,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,ja,zh,mrr,0.7341942915298505,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,zh,en,r1,0.8203125,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,zh,en,mrr,0.8611373509788268,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,zh,ko,r1,0.63671875,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,zh,ko,mrr,0.7060981336397882,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,zh,ja,r1,0.537109375,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,zh,ja,mrr,0.627193192887959,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,,,language_probe_accuracy,0.99658203125,1024,2048
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,last_token,normal,,,,language_probe_macro_f1,0.9965844093926317,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,en,ko,r1,0.759765625,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,en,ko,mrr,0.8073744284131078,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,en,ja,r1,0.58984375,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,en,ja,mrr,0.6721439530006177,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,en,zh,r1,0.810546875,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,en,zh,mrr,0.8620197566848495,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ko,en,r1,0.70703125,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ko,en,mrr,0.7717680353728283,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ko,ja,r1,0.572265625,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ko,ja,mrr,0.6409638878796706,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ko,zh,r1,0.607421875,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ko,zh,mrr,0.6888589465743193,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ja,en,r1,0.6796875,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ja,en,mrr,0.7569910388365562,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ja,ko,r1,0.6484375,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ja,ko,mrr,0.7310302121467959,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ja,zh,r1,0.6171875,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,ja,zh,mrr,0.7036613673936967,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,zh,en,r1,0.7890625,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,zh,en,mrr,0.8325996809650382,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,zh,ko,r1,0.6171875,1024,2048
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,last_token,normal,,zh,ko,mrr,0.6894891711349962,1024,2048
