model,layer,relative_position,source_language,target_language,metric,value,n
Qwen/Qwen2.5-0.5B,20,0.75,zh,en,r1,0.251953125,512
Qwen/Qwen2.5-0.5B,20,0.75,zh,ko,r1,0.103515625,512
Qwen/Qwen2.5-0.5B,20,0.75,zh,ja,r1,0.125,512
Qwen/Qwen2.5-0.5B,21,0.75,en,ko,r1,0.115234375,512
Qwen/Qwen2.5-0.5B,21,0.75,en,ja,r1,0.12890625,512
Qwen/Qwen2.5-0.5B,21,0.75,en,zh,r1,0.373046875,512
Qwen/Qwen2.5-0.5B,21,0.75,ko,en,r1,0.109375,512
Qwen/Qwen2.5-0.5B,21,0.75,ko,ja,r1,0.10546875,512
Qwen/Qwen2.5-0.5B,21,0.75,ko,zh,r1,0.126953125,512
Qwen/Qwen2.5-0.5B,21,0.75,ja,en,r1,0.15234375,512
Qwen/Qwen2.5-0.5B,21,0.75,ja,ko,r1,0.115234375,512
Qwen/Qwen2.5-0.5B,21,0.75,ja,zh,r1,0.154296875,512
Qwen/Qwen2.5-0.5B,21,0.75,zh,en,r1,0.369140625,512
Qwen/Qwen2.5-0.5B,21,0.75,zh,ko,r1,0.111328125,512
Qwen/Qwen2.5-0.5B,21,0.75,zh,ja,r1,0.134765625,512
Qwen/Qwen2.5-0.5B,22,0.75,en,ko,r1,0.11328125,512
Qwen/Qwen2.5-0.5B,22,0.75,en,ja,r1,0.126953125,512
Qwen/Qwen2.5-0.5B,22,0.75,en,zh,r1,0.376953125,512
Qwen/Qwen2.5-0.5B,22,0.75,ko,en,r1,0.125,512
Qwen/Qwen2.5-0.5B,22,0.75,ko,ja,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,22,0.75,ko,zh,r1,0.146484375,512
Qwen/Qwen2.5-0.5B,22,0.75,ja,en,r1,0.14453125,512
Qwen/Qwen2.5-0.5B,22,0.75,ja,ko,r1,0.1171875,512
Qwen/Qwen2.5-0.5B,22,0.75,ja,zh,r1,0.17578125,512
Qwen/Qwen2.5-0.5B,22,0.75,zh,en,r1,0.375,512
Qwen/Qwen2.5-0.5B,22,0.75,zh,ko,r1,0.125,512
Qwen/Qwen2.5-0.5B,22,0.75,zh,ja,r1,0.162109375,512
Qwen/Qwen2.5-0.5B,23,0.75,en,ko,r1,0.046875,512
Qwen/Qwen2.5-0.5B,23,0.75,en,ja,r1,0.09765625,512
Qwen/Qwen2.5-0.5B,23,0.75,en,zh,r1,0.357421875,512
Qwen/Qwen2.5-0.5B,23,0.75,ko,en,r1,0.10546875,512
Qwen/Qwen2.5-0.5B,23,0.75,ko,ja,r1,0.09375,512
Qwen/Qwen2.5-0.5B,23,0.75,ko,zh,r1,0.130859375,512
Qwen/Qwen2.5-0.5B,23,0.75,ja,en,r1,0.140625,512
Qwen/Qwen2.5-0.5B,23,0.75,ja,ko,r1,0.056640625,512
Qwen/Qwen2.5-0.5B,23,0.75,ja,zh,r1,0.166015625,512
Qwen/Qwen2.5-0.5B,23,0.75,zh,en,r1,0.38671875,512
Qwen/Qwen2.5-0.5B,23,0.75,zh,ko,r1,0.044921875,512
Qwen/Qwen2.5-0.5B,23,0.75,zh,ja,r1,0.13671875,512
Qwen/Qwen2.5-0.5B,24,0.75,en,ko,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,24,0.75,en,ja,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,24,0.75,en,zh,r1,0.009765625,512
Qwen/Qwen2.5-0.5B,24,0.75,ko,en,r1,0.017578125,512
Qwen/Qwen2.5-0.5B,24,0.75,ko,ja,r1,0.017578125,512
Qwen/Qwen2.5-0.5B,24,0.75,ko,zh,r1,0.005859375,512
