model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r10,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r10,256,512,aligned,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,r10,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,mrr,256,512,raw,ok,0.007600510148682141
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,mrr,256,512,centered,ok,0.011989575886693131
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,mrr,256,512,centered_delta,ok,0.00438906573801099
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,mrr,256,512,aligned,ok,0.009458798213350326
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,mrr,256,512,delta,ok,0.0018582880646681853
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r1,256,512,raw,ok,0.017578125
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r1,256,512,centered,ok,0.021484375
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r1,256,512,centered_delta,ok,0.00390625
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r1,256,512,aligned,ok,0.029296875
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r1,256,512,delta,ok,0.01171875
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r5,256,512,raw,ok,0.052734375
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r5,256,512,centered,ok,0.083984375
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r5,256,512,centered_delta,ok,0.03125
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r5,256,512,aligned,ok,0.0859375
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r5,256,512,delta,ok,0.033203125
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r10,256,512,raw,ok,0.08984375
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r10,256,512,centered,ok,0.140625
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r10,256,512,centered_delta,ok,0.05078125
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,r10,256,512,aligned,ok,0.142578125
