model,layer,normalized_depth,pooling,record_type,basis,k,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,0,zh,ja,mrr,0.009710342721855721,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,0,,,accuracy,0.52392578125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,0,,,macro_f1,0.3980844619524876,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,en,ko,mrr,0.020954993469193696,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,en,ja,mrr,0.009116939012595202,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,en,zh,r1,0.0078125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,en,zh,mrr,0.019731221770305805,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ko,en,mrr,0.020417568431042955,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ko,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ko,ja,mrr,0.009351534875090606,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ko,zh,mrr,0.01269304825735625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ja,en,mrr,0.005418154633809473,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ja,ko,mrr,0.006544596614219982,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,ja,zh,mrr,0.005781320029975001,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,zh,en,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,1,zh,en,mrr,0.021348897435310953,1024,2048
